User,L1.6.2,L1.21.1,L1.4.3,L1.23.1,L2.10.1,L2.17.1,L2.29.1,L2.2.1,L3.9.1,L3.11.1,L3.21.1,L3.18.1,L4.3.1,L4.16.1,L4.13.1,L4.22.1,L5.15.1,L5.9.1,L5.24.1,L5.26.1,L6.11.1,L6.29.2,L6.9.1,L6.12.2,L7.16.1,L7.17.1,L7.22.1,L7.25.1,L8.3.3,L8.19.1,L8.30.1,L8.11.1,L9.21.1,L9.24.1,L9.8.1,L9.3.1,L10.16.1,L10.21.1,L10.7.1,L10.22.3,P1.6.2,P1.21.1,P1.4.3,P1.23.1,P2.10.1,P2.17.1,P2.29.1,P2.2.1,P3.9.1,P3.11.1,P3.21.1,P3.18.1,P4.3.1,P4.16.1,P4.13.1,P4.22.1,P5.15.1,P5.9.1,P5.24.1,P5.26.1,P6.11.1,P6.29.2,P6.9.1,P6.12.2,P7.16.1,P7.17.1,P7.22.1,P7.25.1,P8.3.3,P8.19.1,P8.30.1,P8.11.1,P9.21.1,P9.24.1,P9.8.1,P9.3.1,P10.16.1,P10.21.1,P10.7.1,P10.22.3
TU-kwt-4,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,2.853000164,7.99105072,0.5123353,9.07804966,0.607001424,1.662001133,2.527678967,0.453667969,0.154996246,0.507001996,0.635665774,1.159324408,0.054994546,3.216333628,0.407000512,0.326999158,-1.000011683,0.420334071,3.277355194,5.438369751,0.455001324,0.31633231,0.764333904,0.561668336,0.129662484,-1.083333135,-1.000011683,2.739672422,0.997993588,1.44799602,-1.508003235,1.520668626,2.99605751,4.994022846,2.996042252,10.98803711,-1.391334653,-1.000011683,-1.000011683,-1.000011683
TU-kxd-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TU-ldq-166,1,0,1,0,1,1,0,1,1,1,1,1,NA,1,1,NA,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,2.463668346,5.993049622,0.20566377,3.995047569,0.109662138,1.639334559,0.745667636,0.42700085,0.329665869,0.356332988,0.485663235,1.533997536,NA,2.821674347,0.08299502,NA,-1.000011683,-1.000006437,3.29402256,5.195722103,0.248331159,-1.000006437,0.50566864,0.094995223,0.361666411,0.714333773,0.594998419,0.998020947,-1.000006437,-1.506669998,-1.149999499,1.292665243,2.996028423,2.996018887,2.99600935,6.992034912,-1.000011683,-1.000011683,-1.097999811,-1.000011683
TU-lfk-99,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2.629001379,6.992049217,0.567001641,7.991052628,0.298998684,1.819333673,2.415007591,0.673667729,0.555001736,0.436334342,0.6076653,1.579998255,-1.000006437,3.26032877,0.372333258,0.489668578,-1.000011683,0.491001934,3.205358982,5.474367619,0.27099821,-1.000006437,0.684334338,0.225664109,0.313665599,0.621665537,0.616332114,-1.000011683,-1.000006437,-1.324666858,1.665333033,-1.000006437,3.473343849,1.559331179,3.120016098,8.990041733,-0.237332389,-0.306666613,-1.396668077,-1.000011683
TU-lry-52,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,2.088995218,5.993042469,0.641667902,4.994055271,0.025660716,1.754000664,0.773000896,0.419000715,-1.000006437,0.49233529,0.120323732,-1.000011683,-1.916005015,-1.000006437,-1.000006437,0.218997329,-1.000011683,-1.000006437,1.997049809,5.112058163,-1.000006437,-1.000006437,-1.000006437,-1.000006437,-0.001006402,0.676999807,-1.000011683,2.663002968,0.997993588,-1.094666481,-1.452002287,1.428667545,2.996024132,0.997990251,2.996032715,2.995998621,-1.390001297,-1.000011683,-1.553337336,-1.000011683
TU-ltw-173,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.000006437,-1.000011683,-1.000006437,-1.000011683,-1.000006437,-1.000006437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TU-mkr-125,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,2.673001051,9.078053474,0.785667121,1.788003206,0.747000694,1.838000178,0.783667505,0.73500073,0.712334156,0.392333597,0.660999537,1.097990036,0.477668375,3.553666592,-1.179999709,0.572334945,0.646332622,0.541668415,3.545351028,5.617691517,0.567001641,0.444334477,0.681667686,0.567001641,0.569668293,0.69566679,0.585664928,2.715005636,3.126660347,1.63999927,1.788000822,1.538001776,4.994034767,4.994035721,2.996045113,6.992033958,0.620332181,-1.000011683,-1.144666195,0.446329236
TU-mmq-279,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,2.551668406,2.996038198,0.564334989,1.997040272,0.086995088,1.611334682,0.741667569,0.481668442,-1.000006437,0.194996923,0.196991697,-1.000011683,-1.210666299,-0.748972535,-1.266665936,-1.098666668,-1.000011683,-1.000006437,0.998005211,1.99706316,0.032327496,-1.000006437,-1.000006437,-0.249332666,-1.179999709,-1.04399991,-1.000011683,-0.001007601,-0.267999232,-0.001333333,-0.001333333,-0.002666667,-0.243999362,-0.002666667,NA,NA,-1.179332614,-1.000011683,-1.533337116,-1.000011683
TU-mqh-45,0,0,1,0,1,NA,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,-1.000006437,-0.001006409,0.368333191,3.995031834,0.269664854,NA,0.590331674,0.56033504,0.488335222,-1.000006437,-1.000011683,-1.000011683,-1.158666492,-1.000006437,-1.237332702,0.280331701,-1.000011683,0.02432736,0.998017371,3.995064259,0.128329128,-1.000006437,-1.000006437,-1.000006437,0.065661393,0.146324173,0.568997979,-0.001006409,-1.000006437,-1.128666282,1.33399415,-1.000006437,2.996016026,0.997993112,2.995997429,0.997993588,-1.565337658,-1.000011683,-1.728007078,-1.000011683
TU-nfi-275,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.000006437,1.997022152,-1.000006437,-0.214001343,-1.000006437,-1.000006437,2.200341702,-1.000006437,-1.000006437,-1.000006437,-0.502003253,-0.001333333,-1.322665572,-1.31296742,-1.000006437,-1.000006437,-1.000011683,-1.000006437,-0.001006409,0.998003244,-1.000006437,-1.000006437,0.328332514,-1.000006437,0.29366526,0.320327103,0.623665571,-1.000011683,-1.000006437,-1.551337361,-1.251998901,-1.000006437,2.99601078,0.997993588,0.997993588,5.120687962,-1.53533709,-1.000011683,-1.179332614,-0.107333094
TU-nkf-77,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,NA,0,1,1,1,0,1,0,0,2.598334789,9.114049911,0.720334172,-0.102667913,0.583001554,1.695334315,2.560338497,0.68700099,0.464334816,0.652334511,0.762334287,1.611332178,0.228330821,3.638999939,0.571001649,0.697667599,-1.000011683,0.230997533,3.504021883,5.457703114,0.491001934,0.294998616,0.713667512,0.588334858,0.645667911,0.619665504,0.612332046,2.633014441,0.997993588,1.649332762,1.642665982,NA,2.996041298,4.994030952,2.996037483,10.98804951,-1.113332987,0.145657495,-1.077333212,-1.000011683
TU-nle-137,1,0,1,0,1,1,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.541001797,2.996020555,0.537668467,4.153049469,0.403000444,1.722000837,0.674999774,0.649667859,0.129662484,-1.000006437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
