episode,finalReward
05-10-01.yaml,[-0.9975971]
05-10-02.yaml,[-0.9975971]
05-10-03.yaml,[-0.9975971]
05-11-01.yaml,[-0.9975971]
05-11-02.yaml,[-0.9975971]
05-12-01.yaml,[-0.9975971]
05-12-02.yaml,[-0.9975971]
05-12-03.yaml,[-0.9975971]
05-13-01.yaml,[-0.9975971]
05-13-03.yaml,[-0.9975971]
05-14-02.yaml,[-0.9975971]
05-15-01.yaml,[-0.99880695]
05-15-03.yaml,[-0.99880695]
05-16-02.yaml,[-0.9975971]
05-16-03.yaml,[-0.9975971]
05-17-02.yaml,[-0.9975971]
05-17-03.yaml,[-0.9975971]
05-18-02.yaml,[-0.9975971]
05-18-03.yaml,[-0.9975971]
05-19-02.yaml,[-0.9975971]
05-19-03.yaml,[-0.9975971]
05-20-02.yaml,[0.68219984]
05-20-03.yaml,[0.68219984]
05-21-01.yaml,[-0.9975971]
05-21-02.yaml,[-0.9975971]
05-22-01.yaml,[1.6947974]
05-22-03.yaml,[1.1675959]
05-23-01.yaml,[1.0631993]
05-23-03.yaml,[1.1731962]
05-24-01.yaml,[2.4884236]
05-24-03.yaml,[2.4884236]
05-25-02.yaml,[0.62681]
05-25-03.yaml,[0.73702896]
05-26-01.yaml,[5.248008]
05-27-01.yaml,[3.1061862]
05-27-02.yaml,[0.6266363]
05-27-03.yaml,[0.6266363]
05-28-01.yaml,[6.854512]
05-28-03.yaml,[7.071357]
05-29-01.yaml,[2.5290136]
05-29-02.yaml,[2.0854096]
05-29-03.yaml,[2.0854096]
05-30-01.yaml,[3.2731566]
05-30-02.yaml,[3.2731566]
05-30-03.yaml,[3.2731566]
06-01-01.yaml,[0.87659997]
06-01-02.yaml,[0.8742]
06-01-03.yaml,[0.8742]
06-02-01.yaml,[-0.9975971]
06-02-03.yaml,[-0.9975971]
06-03-01.yaml,[0.37739998]
06-03-02.yaml,[-0.9975971]
06-03-03.yaml,[0.37739998]
06-04-01.yaml,[0.4869991]
06-04-02.yaml,[0.4869991]
06-04-03.yaml,[0.4869991]
06-05-01.yaml,[-0.9975971]
06-05-02.yaml,[-0.9975971]
06-05-03.yaml,[-0.9975971]
06-06-01.yaml,[0.97020006]
06-06-03.yaml,[0.9734]
06-07-01.yaml,[-0.9975971]
06-07-02.yaml,[-0.9975971]
06-07-03.yaml,[-0.9975971]
06-08-01.yaml,[-0.9975971]
06-08-03.yaml,[-0.9975971]
06-09-02.yaml,[0.12780195]
06-09-03.yaml,[0.07420236]
06-10-01.yaml,[0.7438001]
06-10-02.yaml,[0.5173991]
06-10-03.yaml,[0.5189991]
06-11-01.yaml,[0.5701993]
06-11-02.yaml,[-0.9975971]
06-12-01.yaml,[0.45259935]
06-12-02.yaml,[0.5597993]
06-12-03.yaml,[-0.9975971]
06-13-01.yaml,[0.44059944]
06-13-02.yaml,[-0.9975971]
06-13-03.yaml,[0.44059944]
06-14-01.yaml,[1.6623998]
06-14-02.yaml,[1.6623998]
06-14-03.yaml,[1.6623998]
06-15-01.yaml,[5.4423313]
06-15-02.yaml,[1.9437963]
06-15-03.yaml,[1.9437963]
06-16-01.yaml,[-0.3618007]
06-16-02.yaml,[-0.3618007]
06-16-03.yaml,[-0.3618007]
06-17-01.yaml,[1.6947974]
06-17-03.yaml,[1.1675959]
06-18-01.yaml,[1.0631993]
06-18-03.yaml,[1.1735961]
06-19-01.yaml,[3.5196095]
06-19-02.yaml,[3.5196095]
06-19-03.yaml,[3.5196095]
06-20-01.yaml,[1.2606409]
06-20-02.yaml,[2.3256226]
06-21-01.yaml,[4.9528823]
06-21-02.yaml,[5.248008]
06-22-02.yaml,[2.5290136]
06-22-03.yaml,[0.8602615]
06-23-01.yaml,[6.854512]
06-23-03.yaml,[7.071357]
06-24-01.yaml,[4.39079]
06-24-02.yaml,[4.39079]
06-24-03.yaml,[4.39079]
06-25-01.yaml,[0.77299964]
06-25-02.yaml,[0.7785996]
06-25-03.yaml,[0.7785996]
06-26-01.yaml,[-0.9975971]
06-26-02.yaml,[-0.9975971]
06-27-01.yaml,[0.5909995]
06-27-02.yaml,[0.42939955]
06-27-03.yaml,[0.42939955]
06-28-01.yaml,[0.4333995]
06-28-02.yaml,[0.4333995]
06-28-03.yaml,[0.4333995]
06-29-01.yaml,[-0.9975971]
06-29-02.yaml,[-0.9975971]
