"Step","Score_raw","Score_movingavg"
79837,18.3197498887894,17.6062554962056
80451,NA,17.6062554962056
81022,NA,17.6062554962056
81630,18.0801496622444,17.6225966743449
81785,NA,17.7824804758202
82318,NA,17.7824804758202
83082,NA,17.7824804758202
83254,18.2825496522128,17.7997242405234
83837,NA,17.8935715401759
84111,21.4511002993677,18.0162449456653
84397,NA,18.0162449456653
85055,NA,18.0162449456653
85188,21.186700246064,18.2094828746069
85821,NA,18.2094828746069
86452,NA,18.2094828746069
86867,18.2161501323571,18.2097051165319
87219,NA,18.2097051165319
87766,NA,18.2368345809478
87881,21.262699355022,18.3376967400836
88536,NA,18.3376967400836
