episode,finalReward
03-20-01.yaml,[-0.9999971]
03-20-02.yaml,[-0.9999971]
03-20-03.yaml,[-0.9999971]
03-21-01.yaml,[-1.0000069]
03-21-02.yaml,[-1.0000069]
03-21-03.yaml,[-1.0000069]
03-22-01.yaml,[-0.9999971]
03-22-02.yaml,[-0.9999971]
03-22-03.yaml,[-0.9999971]
03-23-01.yaml,[-0.9999971]
03-23-02.yaml,[-0.9999971]
03-23-03.yaml,[-0.9999971]
03-24-01.yaml,[-0.9999971]
03-24-02.yaml,[-0.9999971]
03-24-03.yaml,[-0.9999971]
03-25-01.yaml,[-0.9999971]
03-25-02.yaml,[-0.9999971]
03-25-03.yaml,[-0.9999971]
03-26-01.yaml,[-0.9999971]
03-26-02.yaml,[-0.9999971]
03-26-03.yaml,[-0.9999971]
03-27-01.yaml,[-1.0000069]
03-27-02.yaml,[-1.0000069]
03-27-03.yaml,[-1.0000069]
03-28-01.yaml,[-0.9999971]
03-28-02.yaml,[-0.9999971]
03-28-03.yaml,[-0.9999971]
03-29-01.yaml,[-0.9999971]
03-29-02.yaml,[-0.9999971]
03-29-03.yaml,[-0.9999971]
03-30-01.yaml,[-0.9999971]
03-30-02.yaml,[-0.9999971]
03-30-03.yaml,[-0.9999971]
04-01-01.yaml,[-0.9999971]
04-01-02.yaml,[-0.9999971]
04-01-03.yaml,[-0.9999971]
04-02-01.yaml,[-0.9999971]
04-02-02.yaml,[-0.9999971]
04-02-03.yaml,[-0.9999971]
04-03-01.yaml,[-0.9999971]
04-03-02.yaml,[-0.9999971]
04-03-03.yaml,[-0.9999971]
04-04-01.yaml,[-0.9999971]
04-04-02.yaml,[-0.9999971]
04-04-03.yaml,[-0.9999971]
04-05-01.yaml,[-0.9999971]
04-05-02.yaml,[-0.9999971]
04-05-03.yaml,[-0.9999971]
04-06-01.yaml,[-0.9999971]
04-06-02.yaml,[-0.9999971]
04-06-03.yaml,[-0.9999971]
04-07-01.yaml,[-0.9999971]
04-07-02.yaml,[-0.9999971]
04-07-03.yaml,[-0.9999971]
04-08-01.yaml,[-0.9999971]
04-08-02.yaml,[-0.9999971]
04-08-03.yaml,[-0.9999971]
04-09-01.yaml,[-0.9999971]
04-09-02.yaml,[-0.9999971]
04-09-03.yaml,[-0.9999971]
04-10-01.yaml,[0.9102]
04-10-02.yaml,[-0.9999971]
04-10-03.yaml,[-0.9999971]
04-11-01.yaml,[-0.9999971]
04-11-02.yaml,[-0.9999971]
04-11-03.yaml,[-0.9999971]
04-12-01.yaml,[-0.9999971]
04-12-02.yaml,[-0.9999971]
04-12-03.yaml,[-0.9999971]
04-13-01.yaml,[-0.9999971]
04-13-02.yaml,[-0.9999971]
04-13-03.yaml,[-0.9999971]
04-14-01.yaml,[-0.9999971]
04-14-02.yaml,[-0.9999971]
04-14-03.yaml,[-0.9999971]
04-15-01.yaml,[-0.9999971]
04-15-02.yaml,[-0.9999971]
04-15-03.yaml,[-0.9999971]
04-16-01.yaml,[4.3134]
04-16-02.yaml,[4.3222]
04-16-03.yaml,[4.3046002]
04-17-01.yaml,[4.3134]
04-17-02.yaml,[4.3046002]
04-17-03.yaml,[4.3222]
04-18-01.yaml,[0.68299985]
04-18-02.yaml,[0.68299985]
