episode,finalReward
05-08-03.yaml,[-0.9975971]
05-09-01.yaml,[-0.9975971]
05-09-02.yaml,[-0.9975971]
05-09-03.yaml,[-0.9975971]
05-10-01.yaml,[-0.9975971]
05-10-02.yaml,[-0.9975971]
05-10-03.yaml,[-0.9975971]
05-11-01.yaml,[-0.9975971]
05-11-02.yaml,[-0.9975971]
05-11-03.yaml,[-0.9975971]
05-12-01.yaml,[-0.9975971]
05-12-02.yaml,[-0.9975971]
05-12-03.yaml,[-0.9975971]
05-13-01.yaml,[-0.9975971]
05-13-02.yaml,[-0.9975971]
05-13-03.yaml,[-0.9975971]
05-14-01.yaml,[-0.9975971]
05-14-02.yaml,[-0.9975971]
05-14-03.yaml,[-0.9975971]
05-15-01.yaml,[-0.99880695]
05-15-02.yaml,[-0.99880695]
05-15-03.yaml,[-0.99880695]
05-16-01.yaml,[-0.9975971]
05-16-02.yaml,[-0.9975971]
05-16-03.yaml,[-0.9975971]
05-17-01.yaml,[-0.9975971]
05-17-02.yaml,[-0.9975971]
05-17-03.yaml,[-0.9975971]
05-18-01.yaml,[-0.9975971]
05-18-02.yaml,[-0.9975971]
05-18-03.yaml,[-0.9975971]
05-19-01.yaml,[-0.9975971]
05-19-02.yaml,[-0.9975971]
05-19-03.yaml,[-0.9975971]
05-20-01.yaml,[-0.9975971]
05-20-02.yaml,[-0.9975971]
05-20-03.yaml,[-0.9975971]
05-21-01.yaml,[-0.9975971]
05-21-02.yaml,[-0.9975971]
05-21-03.yaml,[-0.9975971]
05-22-01.yaml,[-0.99880695]
05-22-02.yaml,[-0.99880695]
05-22-03.yaml,[-0.25380358]
05-23-01.yaml,[-0.99880695]
05-23-02.yaml,[-0.99880695]
05-23-03.yaml,[-0.99880695]
05-24-01.yaml,[-0.2578035]
05-24-02.yaml,[-0.84780884]
05-24-03.yaml,[-0.9982138]
05-25-01.yaml,[-0.99880695]
05-25-02.yaml,[-0.99880695]
05-25-03.yaml,[-0.99880695]
05-26-01.yaml,[1.1470413]
05-26-02.yaml,[0.5890438]
05-26-03.yaml,[1.7084751]
05-27-01.yaml,[-0.19639286]
05-27-02.yaml,[-0.5928028]
05-27-03.yaml,[-0.1345918]
05-28-01.yaml,[1.2844261]
05-28-02.yaml,[0.5662367]
05-28-03.yaml,[-0.10119069]
05-29-01.yaml,[-0.50640994]
05-29-02.yaml,[0.04321862]
05-29-03.yaml,[-0.79098743]
05-30-01.yaml,[-0.25099382]
05-30-02.yaml,[-0.7497899]
05-30-03.yaml,[-0.2757955]
06-01-01.yaml,[0.5701993]
06-01-02.yaml,[0.46219927]
06-01-03.yaml,[0.71659994]
06-02-01.yaml,[-0.9975971]
06-02-02.yaml,[-0.9975971]
06-02-03.yaml,[-0.9975971]
06-03-01.yaml,[-0.9975971]
06-03-02.yaml,[-0.9975971]
06-03-03.yaml,[-0.9975971]
06-04-01.yaml,[0.22140121]
06-04-02.yaml,[-0.9975971]
06-04-03.yaml,[-0.9975971]
06-05-01.yaml,[-0.9975971]
06-05-02.yaml,[-0.9975971]
06-05-03.yaml,[-0.9975971]
06-06-01.yaml,[-0.9975971]
06-06-02.yaml,[-0.9975971]
06-06-03.yaml,[-0.9975971]
06-07-01.yaml,[-0.9975971]
06-07-02.yaml,[-0.9975971]
06-07-03.yaml,[-0.9975971]
06-08-01.yaml,[-0.9975971]
06-08-02.yaml,[-0.9975971]
06-08-03.yaml,[-0.9975971]
06-09-01.yaml,[-0.9975971]
06-09-02.yaml,[-0.9975971]
06-09-03.yaml,[-0.9975971]
06-10-01.yaml,[-0.9975971]
06-10-02.yaml,[-0.9975971]
06-10-03.yaml,[-0.9975971]
06-11-01.yaml,[-0.9975971]
06-11-02.yaml,[-0.9975971]
06-11-03.yaml,[-0.9975971]
06-12-01.yaml,[-0.9975971]
06-12-02.yaml,[-0.9975971]
06-12-03.yaml,[-0.9975971]
06-13-01.yaml,[-1.5590005]
06-13-02.yaml,[-0.9975971]
06-13-03.yaml,[-1.1342001]
06-14-01.yaml,[0.44820064]
06-14-02.yaml,[-0.6514018]
06-14-03.yaml,[-0.11140498]
06-15-01.yaml,[-1.2085996]
06-15-02.yaml,[1.0448095]
06-15-03.yaml,[0.39819872]
06-16-01.yaml,[-0.9975971]
06-16-02.yaml,[-0.9975971]
06-16-03.yaml,[-0.9975971]
06-17-01.yaml,[-0.99880695]
06-17-02.yaml,[-0.99880695]
06-17-03.yaml,[-0.17260434]
06-18-01.yaml,[-0.99880695]
06-18-02.yaml,[-0.38299936]
06-18-03.yaml,[-0.99880695]
06-19-01.yaml,[-0.99880695]
06-19-02.yaml,[-0.5733986]
06-19-03.yaml,[-0.0870055]
06-20-01.yaml,[-0.27180302]
06-20-02.yaml,[-0.99880695]
06-20-03.yaml,[-0.99880695]
06-21-01.yaml,[3.5640671]
06-21-02.yaml,[1.7081457]
06-21-03.yaml,[-0.93897825]
06-22-01.yaml,[-0.9995871]
06-22-02.yaml,[-0.20839396]
06-22-03.yaml,[-0.9995871]
06-23-01.yaml,[1.5511504]
06-23-02.yaml,[0.6080726]
06-23-03.yaml,[3.256585]
06-24-01.yaml,[-0.7967872]
06-24-02.yaml,[-0.46260795]
06-24-03.yaml,[0.8002446]
06-25-01.yaml,[-0.99880695]
06-25-02.yaml,[-0.99880695]
06-25-03.yaml,[0.63279665]
06-26-01.yaml,[-0.9975971]
06-26-02.yaml,[-0.9975971]
06-26-03.yaml,[0.05500251]
06-27-01.yaml,[-0.9975971]
06-27-02.yaml,[-0.9975971]
06-27-03.yaml,[-0.9975971]
06-28-01.yaml,[-0.9975971]
06-28-02.yaml,[-0.9975971]
06-28-03.yaml,[-0.9975971]
06-29-01.yaml,[-0.9975971]
06-29-02.yaml,[-0.9975971]
06-29-03.yaml,[-0.9975971]
06-30-01.yaml,[-0.9975971]
06-30-02.yaml,[-0.9975971]
06-30-03.yaml,[-0.9975971]
07-01-01.yaml,[-0.9975971]
07-01-02.yaml,[-0.9975971]
07-01-03.yaml,[-0.9975971]
07-02-01.yaml,[-0.9975971]
07-02-02.yaml,[-0.9975971]
07-02-03.yaml,[-0.9975971]
07-03-01.yaml,[0.3326003]
07-03-02.yaml,[-0.9975971]
07-03-03.yaml,[-0.9975971]
07-04-01.yaml,[-0.9975971]
07-04-02.yaml,[-0.9975971]
07-04-03.yaml,[-0.9975971]
07-05-01.yaml,[-0.9975971]
07-05-02.yaml,[-0.9975971]
07-05-03.yaml,[0.7814001]
07-06-01.yaml,[-0.9975971]
07-06-02.yaml,[-0.9975971]
07-06-03.yaml,[-0.9975971]
07-07-01.yaml,[-0.9975971]
07-07-02.yaml,[-0.9975971]
07-07-03.yaml,[-0.9975971]
07-08-01.yaml,[-0.9975971]
07-08-02.yaml,[-0.9975971]
07-08-03.yaml,[-0.9975971]
07-09-01.yaml,[-0.9975971]
07-09-02.yaml,[-0.9975971]
07-09-03.yaml,[-0.9975971]
07-10-01.yaml,[-0.9975971]
