"Step","PPO, foraging training, 1M steps; aai_timescale=1 - rollout/ep_rew_mean","PPO, foraging training, 1M steps; aai_timescale=1 - rollout/ep_rew_mean__MIN","PPO, foraging training, 1M steps; aai_timescale=1 - rollout/ep_rew_mean__MAX"
"36","6.876761436462402","6.876761436462402","6.876761436462402"
"37","7.044554233551025","7.044554233551025","7.044554233551025"
"38","7.204535484313965","7.204535484313965","7.204535484313965"
"39","7.204535484313965","7.204535484313965","7.204535484313965"
"40","7.379135608673096","7.379135608673096","7.379135608673096"
"41","7.525242328643799","7.525242328643799","7.525242328643799"
"42","7.973169326782227","7.973169326782227","7.973169326782227"
"43","8.074003219604492","8.074003219604492","8.074003219604492"
"44","8.169565200805664","8.169565200805664","8.169565200805664"
"45","8.342499732971191","8.342499732971191","8.342499732971191"
"46","8.351824760437012","8.351824760437012","8.351824760437012"
"47","8.424723625183105","8.424723625183105","8.424723625183105"
"48","8.424723625183105","8.424723625183105","8.424723625183105"
"49","8.56087589263916","8.56087589263916","8.56087589263916"
"50","8.643856048583984","8.643856048583984","8.643856048583984"
"51","8.746339797973633","8.746339797973633","8.746339797973633"
"52","8.810474395751953","8.810474395751953","8.810474395751953"
"53","8.949148178100586","8.949148178100586","8.949148178100586"
"54","9.154325485229492","9.154325485229492","9.154325485229492"
"55","9.00716781616211","9.00716781616211","9.00716781616211"
"56","9.086688041687012","9.086688041687012","9.086688041687012"
"57","9.178717613220215","9.178717613220215","9.178717613220215"
"58","9.178717613220215","9.178717613220215","9.178717613220215"
"59","9.284749031066895","9.284749031066895","9.284749031066895"
"60","9.3656644821167","9.3656644821167","9.3656644821167"
"61","9.602583885192871","9.602583885192871","9.602583885192871"
"62","9.717247009277344","9.717247009277344","9.717247009277344"
"63","9.82036018371582","9.82036018371582","9.82036018371582"
"64","9.928803443908691","9.928803443908691","9.928803443908691"
"65","10.000995635986328","10.000995635986328","10.000995635986328"
"66","10.094985008239746","10.094985008239746","10.094985008239746"
"67","10.166977882385254","10.166977882385254","10.166977882385254"
"68","10.261051177978516","10.261051177978516","10.261051177978516"
"69","10.352066040039062","10.352066040039062","10.352066040039062"
"70","10.459174156188965","10.459174156188965","10.459174156188965"
"71","10.508962631225586","10.508962631225586","10.508962631225586"
"72","10.508962631225586","10.508962631225586","10.508962631225586"
"73","10.596147537231445","10.596147537231445","10.596147537231445"
"74","10.657578468322754","10.657578468322754","10.657578468322754"
"75","10.733647346496582","10.733647346496582","10.733647346496582"
"76","10.763738632202148","10.763738632202148","10.763738632202148"
"77","10.81873893737793","10.81873893737793","10.81873893737793"
"78","10.9885892868042","10.9885892868042","10.9885892868042"
"79","11.042450904846191","11.042450904846191","11.042450904846191"
"80","11.142251014709473","11.142251014709473","11.142251014709473"
"81","11.21640396118164","11.21640396118164","11.21640396118164"
"82","11.263373374938965","11.263373374938965","11.263373374938965"
"83","11.330548286437988","11.330548286437988","11.330548286437988"
"84","11.50190258026123","11.50190258026123","11.50190258026123"
"85","11.897661209106445","11.897661209106445","11.897661209106445"
"86","12.06605339050293","12.06605339050293","12.06605339050293"
"87","12.254254341125488","12.254254341125488","12.254254341125488"
"88","12.398727416992188","12.398727416992188","12.398727416992188"
"89","12.56962776184082","12.56962776184082","12.56962776184082"
"90","12.90943431854248","12.90943431854248","12.90943431854248"
"91","13.089090347290039","13.089090347290039","13.089090347290039"
"92","13.277071952819824","13.277071952819824","13.277071952819824"
"93","13.546365737915039","13.546365737915039","13.546365737915039"
"94","13.6943359375","13.6943359375","13.6943359375"
"95","13.864720344543457","13.864720344543457","13.864720344543457"
"96","14.013898849487305","14.013898849487305","14.013898849487305"
"97","14.16197681427002","14.16197681427002","14.16197681427002"
"98","14.487115859985352","14.487115859985352","14.487115859985352"
"99","14.678913116455078","14.678913116455078","14.678913116455078"
"100","14.87193489074707","14.87193489074707","14.87193489074707"
"101","14.984682083129883","14.984682083129883","14.984682083129883"
"102","15.155489921569824","15.155489921569824","15.155489921569824"
"103","15.367661476135254","15.367661476135254","15.367661476135254"
"104","15.558727264404297","15.558727264404297","15.558727264404297"
"105","15.624055862426758","15.624055862426758","15.624055862426758"
